1743-1870 JTAG: Bitstring (TDI): IR TDI: 000000001 (0x1), 9 bits JTAG: Bitstring (TDO): IR TDO: 000000001 (0x1), 9 bits
2052-2179 JTAG: Bitstring (TDI): IR TDI: 000000001 (0x1), 9 bits JTAG: Bitstring (TDO): IR TDO: 000000001 (0x1), 9 bits
2273-2401 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
2482-2818 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
2912-3040 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
3121-3457 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
3551-3678 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
3759-4096 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
4190-4317 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
4398-4735 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
4829-4956 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
5037-5374 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
5468-5595 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
5676-6013 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00000000000000000 (0x0), 17 bits
6107-6235 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
